שם מלא,כיתה,תאריך לידה,מגמה,מחנך/ת,זכר - נקבה,שנת סיום,עיר,מה עושה היום,אימפקט הופה
עומר שרעבי,"י""ב 1",2001-03-19,מחשבים,הלוי רונן,זכר,"תשפ""ב",בית שמש,עובד,
עמית ביטון,"י""ב 2",2007-09-05,מחשבים,מרום נועה,זכר,"תשפ""ד",ירושלים,חייל,
תמר זכריה,"י""ב 2",2000-10-18,אוטוטרוניקה,ברזילי אורית,נקבה,,ירושלים,,מסתדר כרגע
כרים נאור,"י""ב 2",2003-04-14,מחשבים,אמסלם ציפי,זכר,"תשפ""ד",אפרתה,,מסתדר כרגע
תומר מלכה,"י""ב 3",2006-11-04,אוטוטרוניקה,הלוי רונן,זכר,"תשפ""ד",,עובד,
מוחמד סויסה,"י""ב 3",2005-05-08,עיצוב שיער,שגב מיכל,זכר,"תשפ""ב",ירושלים,,
רן סעדה,"י""ב 3",2002-10-26,אוטוטרוניקה,,זכר,"תשפ""ד",ירושלים,,
ספיר חטיב,"י""ב 1",2007-05-21,אוטוטרוניקה,,,"תשע""ט",ירושלים,חייל,
יובל סעדה,"י""ב 3",2007-02-17,תחזוקת מחשבים אישיים ורשתות תקשורת,נחמיאס דוד,זכר,"תשפ""ג",,,עזרה כלכלית
הילה סויסה,"י""ב 2",2005-05-12,מחשבים,אמסלם ציפי,נקבה,"תש""ף",בית שמש,חייל,
ליאור עוזרי,"י""ב 1",2001-09-07,אוטוטרוניקה,שגב מיכל,,,ירושלים,,
אלעד דראושה,"י""ב 1",2007-09-13,עיצוב שיער,אלוני גדי,זכר,"תשפ""א",ירושלים,,מלגה
יוסף קלימי,"י""ב 1",2003-07-18,אוטוטרוניקה,קרן יואב,זכר,"תש""ף",צור הדסה,,עזרה כלכלית
נועה סלים,"י""ב 3",2007-08-07,אוטוטרוניקה,,נקבה,"תשפ""ד",מבשרת ציון,לימודים,
יונתן סלים,"י""ב 2",2007-10-06,אוטוטרוניקה,מרום נועה,זכר,"תשפ""א",,חייל,מסתדר כרגע
יהונתן סויסה,"י""ב 2",2003-12-05,מחשבים,שגב מיכל,זכר,"תשפ""ג",ירושלים,,
ליאור זועבי,"י""ב 2",2004-02-04,עיצוב שיער,קרן יואב,זכר,"תשפ""א",ירושלים,עובד,מסתדר כרגע
יוסף בן דוד,"י""ב 3",2004-12-31,עיצוב שיער,,זכר,"תשפ""ד",,,
מוחמד נאור,"י""ב 1",2005-07-02,עיצוב שיער,שביט איתן,זכר,"תש""ף",ירושלים,חייל,מסתדר כרגע
יהונתן חדד,"י""ב 2",2007-07-04,מחשבים,אמסלם ציפי,זכר,"תשפ""ב",ירושלים,,מסתדר כרגע
איתי אזולאי,"י""ב 3",2005-11-22,עיצוב שיער,בן חיים שרית,,"תשפ""ה",ירושלים,עובד,תעסוקה
כרים חטיב,"י""ב 3",2007-10-08,מחשבים,אלוני גדי,זכר,"תשפ""ד",ירושלים,,מלגה
עידו סלומון,"י""ב 3",2006-03-21,עיצוב שיער,שביט איתן,,"תשפ""א",ירושלים,,
אדם מוסקוביץ,"י""ב 3",2002-11-16,אוטוטרוניקה,,זכר,"תשפ""ה",מעלה אדומים,מכינה,
יובל סבג,"י""ב 1",2004-12-19,מחשבים,מרום נועה,,"תשפ""ה",צור הדסה,עובד,מסתדר כרגע
ריהאם אוחיון,"י""ב 3",2005-06-21,עיצוב שיער,שביט איתן,נקבה,"תשפ""ה",ירושלים,חייל,
שי עמר,"י""ב 3",2003-10-12,אוטוטרוניקה,אלוני גדי,,"תשע""ט",,,מסתדר כרגע
אדם בן שימול,"י""ב 2",2002-12-05,תחזוקת מחשבים אישיים ורשתות תקשורת,קרן יואב,זכר,"תשפ""ה",גבע בנימין,,מלגה
כרים זכריה,"י""ב 3",2004-08-25,עיצוב שיער,אמסלם ציפי,,"תשפ""א",ירושלים,,
מתן עוזרי,"י""ב 3",2003-10-05,אוטוטרוניקה,אמסלם ציפי,זכר,"תשפ""ד",ירושלים,,
מוחמד מזרחי,"י""ב 2",2005-07-17,תחזוקת מחשבים אישיים ורשתות תקשורת,נחמיאס דוד,זכר,,ירושלים,,מלגה
שחר חטיב,"י""ב 1",2003-09-23,,,,"תשפ""ד",,,
חסן מנסור,"י""ב 3",2001-09-03,עיצוב שיער,הלוי רונן,,,ירושלים,,
אמל ברששת,"י""ב 1",2004-02-08,אוטוטרוניקה,,נקבה,"תשפ""ד",ירושלים,,
מיכל לוי,"י""ב 2",2005-05-01,מחשבים,נחמיאס דוד,נקבה,"תשפ""ה",,חייל,הכשרה תעסוקתית
אריאל גבאי,"י""ב 2",2004-08-08,אוטוטרוניקה,בן חיים שרית,זכר,"תשפ""א",נוקדים,עובד,
נתנאל עמר,"י""ב 2",2001-02-19,מחשבים,שגב מיכל,זכר,"תשפ""א",,,מלגה
יובל אשכנזי,"י""ב 2",2005-08-15,,מרום נועה,זכר,"תשפ""ג",ירושלים,,
נועם לביא,"י""ב 1",2006-08-20,מחשבים,נחמיאס דוד,זכר,"תשפ""א",ירושלים,,עזרה כלכלית
מרים מלכה,"י""ב 1",2001-09-20,אוטוטרוניקה,,נקבה,,ירושלים,,מסתדר כרגע
רן שטרית,"י""ב 1",2001-10-02,אוטוטרוניקה,אמסלם ציפי,זכר,"תש""ף",,,
יעל תורגמן,"י""ב 2",2002-01-10,מחשבים,קרן יואב,נקבה,,ירושלים,,מסתדר כרגע
מאהר סעדה,"י""ב 3",2006-11-09,אוטוטרוניקה,,זכר,"תשע""ט",,,מסתדר כרגע
סאמר דראושה,"י""ב 1",2000-08-08,אוטוטרוניקה,מרום נועה,זכר,"תשפ""ד",ירושלים,,מלגה
הראל סלים,"י""ב 2",2004-01-17,עיצוב שיער,אלוני גדי,זכר,"תשע""ט",כפר האורנים,עובד,
אלה סויסה,"י""ב 2",2004-11-14,מחשבים,,,"תשפ""ד",ירושלים,,
טל עואד,"י""ב 1",2002-03-15,מחשבים,שביט איתן,נקבה,"תשע""ט",אפרתה,,תעסוקה
רועי אוחיון,"י""ב 3",2006-10-19,אוטוטרוניקה,שגב מיכל,זכר,"תשפ""ב",ירושלים,,
נועם נחום,"י""ב 3",2006-10-09,אוטוטרוניקה,אמסלם ציפי,זכר,"תשפ""ד",ירושלים,,
נדב סלים,"י""ב 2",2000-04-24,אוטוטרוניקה,ברזילי אורית,זכר,"תש""ף",ירושלים,חייל,עזרה כלכלית
אלה דוד,"י""ב 2",2000-04-16,עיצוב שיער,קרן יואב,,"תשפ""ד",ירושלים,,
יונתן כהן,"י""ב 2",2003-05-05,עיצוב שיער,אלוני גדי,זכר,"תשפ""ד",ירושלים,חייל,מסתדר כרגע
רותם חיים,"י""ב 2",2007-03-07,אוטוטרוניקה,ברזילי אורית,נקבה,"תשפ""ה",ירושלים,,
כרים דוד,"י""ב 3",2003-08-31,אוטוטרוניקה,נחמיאס דוד,,,ירושלים,,
רן דוד,"י""ב 3",2003-06-25,מלונאות,,,"תשפ""ג",בית שמש,,מסתדר כרגע
גיא פרידמן,"י""ב 3",2007-07-03,מחשבים,בן חיים שרית,זכר,"תשע""ט",גבע בנימין,,
אחמד אברהם,"י""ב 2",2003-11-10,עיצוב שיער,אמסלם ציפי,,"תשפ""ד",ירושלים,בעל עסק,תעסוקה
רועי נגר,"י""ב 3",2000-06-08,,בן חיים שרית,זכר,"תשפ""ד",ירושלים,עובד,
טל קדוש,"י""ב 1",2006-09-01,אוטוטרוניקה,ברזילי אורית,נקבה,"תשע""ט",אודם                           90632,,
מתן נגר,"י""ב 3",2005-12-05,עיצוב שיער,מרום נועה,זכר,"תשפ""א",ירושלים,,תעסוקה
שחר נאור,"י""ב 3",2003-12-25,עיצוב שיער,מרום נועה,זכר,"תשפ""ה",ירושלים,,
אביגיל סרסור,"י""ב 1",2005-07-04,תחזוקת מחשבים אישיים ורשתות תקשורת,,נקבה,"תשפ""ד",מעלה אדומים,,
נדב נסראללה,"י""ב 3",2002-11-30,,אלוני גדי,זכר,"תשפ""א",ירושלים,,
שחר דראושה,"י""ב 2",2005-01-20,מחשבים,אלוני גדי,זכר,"תשפ""א",זנוח,מכינה,
גיא עבד אלחק,"י""ב 2",2000-07-03,מחשבים,מרום נועה,,"תשפ""ב",בית שמש,,
נדב עוזרי,"י""ב 1",2007-02-06,מחשבים,אלוני גדי,זכר,"תשפ""ב",ירושלים,,מסתדר כרגע
שי סלים,"י""ב 3",2006-03-19,עיצוב שיער,שגב מיכל,,"תשע""ט",צור הדסה,,מלגה
אמל אוחיון,"י""ב 1",2003-05-01,מערכות חשמל ואלקטרוניקה ברכב,בן חיים שרית,נקבה,"תשפ""ב",,,
איתי סבג,"י""ב 1",2004-01-05,אוטוטרוניקה,אלוני גדי,זכר,"תשע""ט",ירושלים,,
יונתן אזולאי,"י""ב 2",2003-03-21,אוטוטרוניקה,הלוי רונן,זכר,"תשפ""א",בית הערבה,עובד,
דועא אברהם,"י""ב 2",2002-05-23,עיצוב שיער,קרן יואב,,"תשפ""ה",נוקדים                         9091600,,
שחר גבאי,"י""ב 2",2007-12-16,מחשבים,אמסלם ציפי,זכר,"תשפ""ב",,,
אורי אזולאי,"י""ב 1",2005-12-01,,,זכר,"תשפ""ב",בית שמש,,
אריאל דוד,"י""ב 2",2004-09-01,,נחמיאס דוד,זכר,"תשפ""ג",כוכב יעקב,,מסתדר כרגע
נתנאל נחום,"י""ב 3",2005-12-04,אוטוטרוניקה,אלוני גדי,זכר,,ירושלים,עובד,
אחמד סעדה,"י""ב 3",2005-04-10,עיצוב שיער,נחמיאס דוד,זכר,,ירושלים,חייל,מסתדר כרגע
אדם אלבז,"י""ב 1",2003-06-08,מחשבים,מרום נועה,זכר,"תשפ""ג",נוקדים,בעל עסק,
רן מזרחי,"י""ב 2",2004-08-11,עיצוב שיער,הלוי רונן,זכר,"תשפ""ה",בית שמש,,
עלי צדוק,"י""ב 3",2000-03-07,עיצוב שיער,מרום נועה,,"תשפ""א",ירושלים,,מסתדר כרגע
ניצן פרידמן,"י""ב 2",2003-03-23,מחשבים,בן חיים שרית,נקבה,"תשפ""ג",ירושלים,,
דנה חוראני,"י""ב 2",2000-01-03,עיצוב שיער,שגב מיכל,נקבה,"תש""ף",ירושלים,,
עלי רוזן,"י""ב 1",2005-02-01,מחשבים,ברזילי אורית,,"תש""ף",בית שמש,,
כרים מזרחי,"י""ב 3",2001-04-04,מחשבים,שביט איתן,זכר,"תשפ""ג",ירושלים,,
יובל ברק,"י""ב 1",2007-10-11,עיצוב שיער,בן חיים שרית,זכר,"תשפ""ה",ירושלים,עובד,תעסוקה
אלעד לוי,"י""ב 2",2006-06-07,מחשבים,מרום נועה,זכר,"תשפ""ג",בית שמש,חייל,מלגה
יעל עואד,"י""ב 1",2003-11-19,מחשבים,ברזילי אורית,נקבה,"תש""ף",בית שמש,חייל,
רועי גבאי,"י""ב 3",2003-07-01,עיצוב שיער,ברזילי אורית,זכר,"תשפ""ב",ירושלים,,
יובל בן שימול,"י""ב 2",2001-02-25,,הלוי רונן,נקבה,"תשע""ט",ירושלים,,
לינוי רוזן,"י""ב 1",2002-01-26,מחשבים,קרן יואב,נקבה,,,,
הראל גבאי,"י""ב 3",2007-08-27,תחזוקת מחשבים אישיים ורשתות תקשורת,אלוני גדי,,"תשע""ט",ירושלים,עובד,
רוני שפירא,"י""ב 3",2003-03-21,מחשבים,,נקבה,"תשע""ט",,,
איתי שפירא,"י""ב 2",2005-06-03,מחשבים,נחמיאס דוד,זכר,"תשע""ט",ירושלים,,
יהונתן נגר,"י""ב 1",2001-12-26,עיצוב שיער,שגב מיכל,,"תש""ף",בית שמש,חייל,
שי תורגמן,"י""ב 3",2004-10-03,עיצוב שיער,מרום נועה,,"תשפ""ד",ירושלים,,
יובל דוד,"י""ב 1",2005-03-13,מלונאות,נחמיאס דוד,זכר,"תשע""ט",ירושלים,,מלגה
עמית סויסה,"י""ב 3",2007-10-12,מחשבים,שביט איתן,זכר,"תשפ""א",גבע בנימין,,תעסוקה
אחמד זכריה,"י""ב 3",2000-03-12,מחשבים,קרן יואב,,"תשפ""ה",ירושלים,,מלגה
אלה בן דוד,"י""ב 2",2000-05-05,,מרום נועה,,"תש""ף",קרית יערים,מכינה,מסתדר כרגע
הראל פרץ,"י""ב 3",2001-11-17,מחשבים,ברזילי אורית,,"תשפ""ד",ירושלים,חייל,
נועה אגבאריה,"י""ב 3",2006-01-31,אוטוטרוניקה,אלוני גדי,,"תשפ""ב",,חייל,מסתדר כרגע
כרים אלבז,"י""ב 1",2002-01-16,אוטוטרוניקה,אמסלם ציפי,,"תשפ""ה",ירושלים,,עזרה כלכלית
אור תורגמן,"י""ב 3",2007-12-04,אוטוטרוניקה,נחמיאס דוד,נקבה,"תשע""ט",צור הדסה,,מסתדר כרגע
רועי סעדה,"י""ב 3",2002-09-20,מחשבים,מרום נועה,זכר,"תשע""ט",ירושלים,עובד,
אלון טהא,"י""ב 2",2004-02-09,אוטוטרוניקה,ברזילי אורית,זכר,"תשפ""ב",ירושלים,חייל,
מאיה קלימי,"י""ב 2",2007-04-10,עיצוב שיער,ברזילי אורית,נקבה,,אפרתה,,
אסף דוד,"י""ב 1",2006-08-26,אוטוטרוניקה,אלוני גדי,זכר,"תשפ""ה",,,
סאמר ביטון,"י""ב 2",2000-06-15,אוטוטרוניקה,קרן יואב,זכר,"תשפ""ג",רמלה,חייל,
אביב פרידמן,"י""ב 2",2002-03-16,אוטוטרוניקה,אמסלם ציפי,זכר,"תשפ""ב",ירושלים,,
מאיה אוחיון,"י""ב 1",2007-08-06,אוטוטרוניקה,הלוי רונן,נקבה,"תשפ""ג",מטע,,
ליאור נאור,"י""ב 3",2005-09-12,עיצוב שיער,אמסלם ציפי,נקבה,"תשפ""ד",מעלה אדומים,,
עמית חטיב,"י""ב 3",2005-11-19,מחשבים,הלוי רונן,זכר,,מבשרת ציון,,
מיכל לביא,"י""ב 1",2003-12-18,עיצוב שיער,אלוני גדי,נקבה,"תשפ""ד",צור הדסה,,מלגה
רועי רחמים,"י""ב 3",2006-10-01,מחשבים,קרן יואב,,"תשפ""ב",ירושלים,,
דנה כרמלי,"י""ב 2",2002-04-17,תחזוקת מחשבים אישיים ורשתות תקשורת,אלוני גדי,נקבה,"תשפ""ג",,עובד,מסתדר כרגע
כרים לוי,"י""ב 1",2002-11-21,אוטוטרוניקה,אמסלם ציפי,זכר,"תש""ף",ירושלים,,
אמל כהן,"י""ב 1",2005-11-12,עיצוב שיער,שגב מיכל,נקבה,"תשפ""ב",בית שמש,,מסתדר כרגע
אורי גבאי,"י""ב 2",2006-08-02,תחזוקת מחשבים אישיים ורשתות תקשורת,אלוני גדי,זכר,"תשפ""ב",ירושלים,חייל,
נועה יפרח,"י""ב 3",2000-09-03,עיצוב שיער,בן חיים שרית,נקבה,"תשפ""ה",בר גיורא,,
נתנאל וקנין,"י""ב 3",2001-06-03,אוטוטרוניקה,,זכר,"תשפ""א",ירושלים,,הכשרה תעסוקתית
נועם דהן,"י""ב 2",2002-01-15,עיצוב שיער,הלוי רונן,זכר,"תשפ""ב",,,מלגה
יובל שפירא,"י""ב 1",2000-11-26,מחשבים,אלוני גדי,,"תש""ף",גבע בנימין,,תעסוקה
עומר חוראני,"י""ב 3",2006-05-25,מחשבים,אלוני גדי,זכר,"תשפ""א",ירושלים,,
יהונתן גבאי,"י""ב 1",2006-08-08,מחשבים,אמסלם ציפי,,"תשע""ט",ירושלים,מכינה,
רועי פרץ,"י""ב 1",2001-07-24,אוטוטרוניקה,קרן יואב,זכר,"תשע""ט",גבע בנימין,,מסתדר כרגע
אריאל נסראללה,"י""ב 3",2001-08-27,אוטוטרוניקה,קרן יואב,זכר,"תשע""ט",ירושלים,עובד,
נדב פרץ,"י""ב 1",2006-09-08,אוטוטרוניקה,אמסלם ציפי,,"תשפ""ה",,,
מתן ביטון,"י""ב 1",2003-06-20,עיצוב שיער,שגב מיכל,זכר,"תשפ""ד",ירושלים,עובד,
איתי עוזרי,"י""ב 2",2004-04-08,עיצוב שיער,מרום נועה,זכר,"תשפ""ה",,,מסתדר כרגע
נועם רחמים,"י""ב 3",2007-07-07,תחזוקת מחשבים אישיים ורשתות תקשורת,ברזילי אורית,,,ירושלים,,מסתדר כרגע
דועא מנסור,"י""ב 1",2004-04-30,מחשבים,הלוי רונן,נקבה,"תשפ""ג",ירושלים,חייל,עזרה כלכלית
עמית אגבאריה,"י""ב 1",2005-01-24,מחשבים,שגב מיכל,זכר,"תשפ""ד",ירושלים,,
בר סלים,"י""ב 3",2001-09-13,עיצוב שיער,הלוי רונן,זכר,"תשפ""ד",,לפני צבא,
שחר בן דוד,"י""ב 3",2002-06-24,מחשבים,,,"תשפ""ד",ירושלים,חייל,
אלעד חוראני,"י""ב 1",2004-11-07,מחשבים,אמסלם ציפי,זכר,"תשפ""א",,,
מרים קלימי,"י""ב 3",2004-04-01,אוטוטרוניקה,שגב מיכל,נקבה,"תשפ""ד",אודם                           90632,,
גיא מלכה,"י""ב 1",2002-11-18,עיצוב שיער,שגב מיכל,,"תשפ""ה",ירושלים,,
שי בן שימול,"י""ב 3",2002-01-04,עיצוב שיער,אלוני גדי,זכר,"תשע""ט",ירושלים,,תעסוקה
גיא אוחיון,"י""ב 2",2007-08-02,אוטוטרוניקה,הלוי רונן,זכר,"תשפ""א",ירושלים,,מסתדר כרגע
איתי קלימי,"י""ב 2",2005-03-06,אוטוטרוניקה,אמסלם ציפי,זכר,"תשפ""ה",ירושלים,,מסתדר כרגע
נור עטיה,"י""ב 3",2000-09-20,מחשבים,ברזילי אורית,נקבה,,ירושלים,,
סאמר פרידמן,"י""ב 1",2003-02-04,עיצוב שיער,בן חיים שרית,,"תשפ""ה",בית שמש,,מלגה
מוחמד נגר,"י""ב 1",2006-08-04,אוטוטרוניקה,בן חיים שרית,,"תש""ף",אפרתה,,מסתדר כרגע
רן פלד,"י""ב 1",2005-03-12,אוטוטרוניקה,קרן יואב,זכר,"תשפ""ג",ירושלים,,מלגה
נדב סעדה,"י""ב 1",2004-11-12,עיצוב שיער,אמסלם ציפי,זכר,"תשפ""א",צור הדסה,,
ניצן אלבז,"י""ב 2",2001-08-05,מחשבים,מרום נועה,נקבה,"תש""ף",ירושלים,חייל,
עמית שפירא,"י""ב 3",2003-10-20,מלונאות,מרום נועה,זכר,"תשפ""ב",ירושלים,,
מאהר רחמים,"י""ב 1",2001-07-10,אוטוטרוניקה,קרן יואב,זכר,"תשפ""א",קרית ארבע,עובד,
בר שרעבי,"י""ב 2",2003-06-12,אוטוטרוניקה,אמסלם ציפי,זכר,"תשע""ט",ירושלים,,
שי ברק,"י""ב 1",2005-08-21,מחשבים,מרום נועה,זכר,"תש""ף",נס הרים,,
יובל וקנין,"י""ב 3",2002-03-05,אוטוטרוניקה,נחמיאס דוד,,"תש""ף",,,עזרה כלכלית
תמר סלומון,"י""ב 3",2003-06-18,אוטוטרוניקה,ברזילי אורית,נקבה,,,,
נתנאל סבג,"י""ב 2",2003-01-17,עיצוב שיער,קרן יואב,זכר,"תש""ף",בית הערבה,עובד,
עומר סלים,"י""ב 3",2005-05-19,מחשבים,קרן יואב,זכר,"תש""ף",ירושלים,,
נועם בן דוד,"י""ב 1",2002-06-19,עיצוב שיער,אלוני גדי,זכר,"תשע""ט",בני ברק,,
נועם עואד,"י""ב 1",2002-12-03,מחשבים,אמסלם ציפי,זכר,"תשפ""ד",ירושלים,,
ריהאם בן שימול,"י""ב 1",2003-04-13,עיצוב שיער,שגב מיכל,נקבה,"תשפ""ג",ירושלים,,מסתדר כרגע
ניצן תורגמן,"י""ב 1",2006-01-11,מחשבים,שגב מיכל,נקבה,"תשפ""ב",בית שמש,עובד,מלגה
נועה גבאי,"י""ב 2",2003-03-14,מחשבים,מרום נועה,נקבה,"תשפ""ג",ירושלים,,
אלעד לביא,"י""ב 3",2001-11-15,מחשבים,אמסלם ציפי,זכר,"תשפ""ג",גבע בנימין,עובד,
כרים פלד,"י""ב 1",2004-11-13,מחשבים,שגב מיכל,זכר,"תשע""ט",גבע בנימין,,
סאמר מזרחי,"י""ב 1",2002-06-22,עיצוב שיער,ברזילי אורית,זכר,"תשפ""א",בת עין,חייל,תעסוקה
רועי מוסקוביץ,"י""ב 2",2001-12-04,עיצוב שיער,ברזילי אורית,זכר,"תש""ף",בית שמש,,
שחר אגבאריה,"י""ב 3",2001-08-14,עיצוב שיער,,זכר,"תשפ""ה",ירושלים,עובד,
רן סלים,"י""ב 3",2006-10-26,אוטוטרוניקה,נחמיאס דוד,זכר,,בית שמש,,
שי טל,"י""ב 3",2000-01-27,עיצוב שיער,נחמיאס דוד,זכר,"תש""ף",,,
נטע אגבאריה,"י""ב 2",2007-05-17,מחשבים,אמסלם ציפי,,"תשע""ט",,,מסתדר כרגע
גיא שטרית,"י""ב 2",2002-01-01,מחשבים,מרום נועה,זכר,"תש""ף",ירושלים,,
מאיה סויסה,"י""ב 3",2000-01-01,עיצוב שיער,אמסלם ציפי,נקבה,"תשפ""ה",,חייל,
יובל נאור,"י""ב 1",2005-03-25,עיצוב שיער,הלוי רונן,נקבה,"תשפ""א",ירושלים,,מסתדר כרגע
תומר פרידמן,"י""ב 3",2000-10-16,אוטוטרוניקה,קרן יואב,זכר,"תשפ""ב",,,מלגה
ליאור קלימי,"י""ב 2",2001-04-30,מחשבים,קרן יואב,,"תשפ""א",ירושלים,,מלגה
ליאור סלומון,"י""ב 3",2004-05-24,אוטוטרוניקה,,זכר,"תשפ""א",,,
הראל קלימי,"י""ב 3",2007-04-11,עיצוב שיער,ברזילי אורית,זכר,,נס הרים,,מסתדר כרגע
עידו דראושה,"י""ב 1",2004-07-26,עיצוב שיער,שביט איתן,זכר,"תשפ""ד",,עובד,
נדב תורגמן,"י""ב 2",2005-01-05,תחזוקת מחשבים אישיים ורשתות תקשורת,נחמיאס דוד,זכר,"תשפ""א",בית שמש,בעל עסק,מלגה
עמית סלים,"י""ב 1",2005-12-21,תחזוקת מחשבים אישיים ורשתות תקשורת,ברזילי אורית,זכר,"תשפ""א",ירושלים,,
אלה נסראללה,"י""ב 1",2004-06-04,עיצוב שיער,,,,ירושלים,,מלגה
מיכל בן דוד,"י""ב 1",2002-01-23,אוטוטרוניקה,ברזילי אורית,נקבה,"תשפ""ג",ירושלים,,מלגה
אדם חוראני,"י""ב 3",2004-12-12,עיצוב שיער,הלוי רונן,זכר,"תשפ""ה",גבע בנימין,חייל,תעסוקה
אדם שרעבי,"י""ב 2",2001-09-13,מחשבים,הלוי רונן,זכר,"תש""ף",,,
חסן בן דוד,"י""ב 2",2006-03-27,אוטוטרוניקה,אלוני גדי,זכר,"תש""ף",ירושלים,,
נתנאל אשכנזי,"י""ב 3",2006-07-13,עיצוב שיער,אמסלם ציפי,זכר,"תשע""ט",ירושלים,,
סלמא שפירא,"י""ב 3",2004-02-11,אוטוטרוניקה,קרן יואב,נקבה,"תשפ""א",ירושלים,עובד,
לינוי לביא,"י""ב 3",2001-10-06,אוטוטרוניקה,,,"תשע""ט",רוויה,עובד,
אחמד אוחיון,"י""ב 3",2007-08-21,אוטוטרוניקה,שביט איתן,זכר,"תש""ף",ירושלים,,
רותם נאור,"י""ב 1",2005-02-14,עיצוב שיער,אמסלם ציפי,נקבה,"תשפ""ג",ירושלים,,
איתי טויטו,"י""ב 2",2006-08-10,עיצוב שיער,ברזילי אורית,,"תש""ף",ירושלים,,
תמר אבו ראס,"י""ב 1",2001-04-03,מחשבים,הלוי רונן,נקבה,"תשפ""א",ירושלים,,מלגה
נועה וקנין,"י""ב 1",2001-09-06,אוטוטרוניקה,נחמיאס דוד,נקבה,"תשפ""ה",צור הדסה,,
דניאל זכריה,"י""ב 1",2002-07-01,מחשבים,בן חיים שרית,זכר,"תש""ף",,,
רן אוחיון,"י""ב 3",2002-03-07,מחשבים,שגב מיכל,,"תשע""ט",,,מסתדר כרגע
איתי אשכנזי,"י""ב 2",2006-01-05,אוטוטרוניקה,בן חיים שרית,זכר,"תשפ""א",ירושלים,,
דנה פלד,"י""ב 2",2004-10-23,אוטוטרוניקה,הלוי רונן,,"תש""ף",,,מסתדר כרגע
ניצן סרסור,"י""ב 3",2004-04-09,עיצוב שיער,,נקבה,"תשפ""ה",ירושלים,לימודים,מלגה
רן אברהם,"י""ב 2",2001-04-30,עיצוב שיער,אלוני גדי,זכר,"תש""ף",,,
נור חוראני,"י""ב 3",2002-05-20,עיצוב שיער,אמסלם ציפי,נקבה,"תשפ""ב",,,מסתדר כרגע
אדם טויטו,"י""ב 2",2002-10-06,מחשבים,קרן יואב,זכר,"תשפ""ה",ירושלים,,
גיא נחום,"י""ב 1",2007-02-27,עיצוב שיער,שביט איתן,זכר,,גבע בנימין,,מסתדר כרגע
לינוי דהן,"י""ב 2",2000-09-23,אוטוטרוניקה,שגב מיכל,,"תשפ""ד",,,מסתדר כרגע
חסן טהא,"י""ב 1",2004-03-05,עיצוב שיער,ברזילי אורית,זכר,"תשפ""ד",,לימודים,מלגה
רועי דהן,"י""ב 1",2006-01-13,אוטוטרוניקה,שגב מיכל,,"תש""ף",ירושלים,,
עמית נסראללה,"י""ב 1",2004-02-24,עיצוב שיער,אלוני גדי,זכר,"תשפ""ג",ירושלים,חייל,
רועי יפרח,"י""ב 1",2003-02-19,מחשבים,אלוני גדי,זכר,"תש""ף",,חייל,
דועא כהן,"י""ב 2",2006-08-06,עיצוב שיער,מרום נועה,נקבה,,,עובד,
עלי וקנין,"י""ב 3",2004-12-03,עיצוב שיער,מרום נועה,זכר,"תשפ""א",ירושלים,,
נועה עוזרי,"י""ב 3",2005-10-18,אוטוטרוניקה,הלוי רונן,נקבה,"תשפ""ה",בית שמש,עובד,מלגה
הראל עמר,"י""ב 1",2004-12-24,אוטוטרוניקה,נחמיאס דוד,,"תש""ף",ירושלים,,עזרה כלכלית
ניצן ברששת,"י""ב 3",2007-04-20,מחשבים,נחמיאס דוד,נקבה,"תשפ""ד",ירושלים,,
אחמד סרסור,"י""ב 1",2001-08-23,מחשבים,נחמיאס דוד,,"תשפ""ד",מעלה אדומים,,עזרה כלכלית
עומר נחום,"י""ב 1",2002-12-09,אוטוטרוניקה,קרן יואב,זכר,"תשפ""ד",ירושלים,,מלגה
עידו דוד,"י""ב 1",2001-12-20,אוטוטרוניקה,נחמיאס דוד,זכר,"תשפ""ב",ירושלים,,
