שם מלא,בית ספר,זכר - נקבה,שנת סיום,תאריך לידה,עיר,מגמה,תאריך גיוס,תאריך שחרור
אריאל פרץ,עכו מרום,זכר,"תשפ""ג",2002-12-10,מעלה אדומים,תקשוב,,
עדי שפירא,אורט אדיבי אשקלון,נקבה,"תשפ""ה",2000-06-14,גבעת זאב,,,
סאמר שרעבי,בית שאן,זכר,"תשפ""ד",2001-12-26,אבן ספיר,תקשוב,,
עומר רוזן,מוצקין,זכר,"תשפ""ה",2004-12-18,אבן ספיר,תקשוב(חנמ),,
אורי חוראני,ירושלים בית הערבה,זכר,"תשפ""ג",2007-02-09,קרית יערים,תקשוב(חנמ),,
אריאל לביא,אורט אדיבי אשקלון,זכר,"תשפ""ד",2004-02-14,הר אדר,עיצוב(חנמ),,
עידו עמר,ירושלים בית הערבה,זכר,"תש""ף",2006-06-18,מעלה אדומים,תקשוב,,
אחמד קדוש,ירושלים בית הערבה,זכר,"תשפ""ג",2003-01-21,צור הדסה,,2021-03-16,
נועם זועבי,צור ברק,זכר,"תשפ""א",2005-08-25,מעלה אדומים,תחזוקת מערכות מכניות,,
נדב אלמוג,ירושלים בית הערבה,זכר,"תשפ""ד",2001-01-19,גבע בנימין,תקשוב,,
אורי נחום,ירושלים בית הערבה,זכר,"תשפ""ה",2003-01-24,הר אדר,עיצוב(חנמ),,
מאהר דראושה,צור ברק,זכר,"תשפ""ה",2002-08-09,,יישומי עיצוב שיער וטיפוח החן,,
נועה מזרחי,ירושלים בית הערבה,נקבה,"תש""ף",2005-12-23,ירושלים,תחזוקת מערכות מכניות(חנמ),2019-02-27,
מוחמד אלבז,עכו מרום,זכר,,2007-11-19,בית שמש,מחשבים,,
אדם אזולאי,מוצקין,זכר,"תשפ""ב",2000-05-19,קרית יערים,התמחות יישומי אוטו-טק,2023-07-16,
אחמד ברששת,אורט אדיבי אשקלון,זכר,"תשפ""ה",2005-02-06,אבן ספיר,עיצוב,,
מאיה כהן,ירושלים בית הערבה,נקבה,"תשפ""ב",2005-10-26,מודיעין,,,
רועי מנסור,עכו מרום,זכר,"תשפ""ד",2001-04-30,ירושלים,אוטוטרוניקה,,
אריאל טויטו,ירושלים בית הערבה,זכר,"תשפ""ה",2005-10-26,מעלה אדומים,אוטוטרוניקה,,
איתי סלים,מוצקין,זכר,"תשפ""ב",2006-08-23,ירושלים,אוטוטרוניקה,,
אביב עבד אלחק,מוצקין,זכר,"תשע""ט",2006-10-06,ירושלים,מלונאות,,
בר סבג,ירושלים בית הערבה,זכר,"תשפ""ד",2004-06-23,מעלה אדומים,תקשוב,2025-04-11,
מאיה מלכה,ירושלים בית הערבה,נקבה,"תשפ""ג",2002-09-27,מעלה אדומים,תקשוב,,
שי וקנין,ירושלים בית הערבה,זכר,"תשפ""ב",2003-01-03,מעלה אדומים,,,
נדב עואד,בית שאן,זכר,"תשפ""ד",2004-09-15,אבן ספיר,מערכות הספק פיקוד ובקרה,,
רן יפרח,עכו מרום,זכר,"תשע""ט",2005-02-20,אבן ספיר,התמחות יישומי אוטו-טק,,
יוסף מנסור,מוצקין,,"תשפ""א",2005-06-04,גבע בנימין,תקשוב,,2026-05-20
אמל רחמים,אורט אדיבי אשקלון,נקבה,"תשפ""ד",2004-03-03,אפרת,אוטוטרוניקה,,
הדס כהן,עכו מרום,נקבה,"תשפ""ג",2002-11-16,ירושלים,מחשבים,,
שי עטיה,ירושלים בית הערבה,זכר,"תשפ""א",2007-09-15,בית שמש,תחזוקת מערכות מכניות,2025-12-27,
עלי עבד אלחק,ירושלים בית הערבה,זכר,"תשפ""ה",2003-05-04,קרית יערים,עיצוב(חנמ),,
אלון שרעבי,אורט אדיבי אשקלון,זכר,"תשפ""ד",2001-07-14,אפרת,עיצוב שיער,,
חסן בן דוד,אורט אדיבי אשקלון,זכר,"תש""ף",2004-08-10,מעלה אדומים,תחזוקת מערכות מכניות,,
תומר רוזן,עכו מרום,זכר,"תש""ף",2002-01-04,צור הדסה,אוטוטרוניקה,,
נועם עבד אלחק,בית שאן,זכר,"תשפ""ג",2004-04-07,אבן ספיר,עיצוב(חנמ),,
אמל עמר,ירושלים בית הערבה,נקבה,"תשפ""ד",2002-04-26,מודיעין,תקשוב(חנמ),,
נתנאל נגר,ירושלים בית הערבה,זכר,"תשפ""ד",2001-06-17,בית שמש,התמחות יישומי אוטו-טק,,
חסן עבד אלחק,עכו מרום,זכר,"תשפ""ה",2003-06-02,מעלה אדומים,אוטוטרוניקה,,
אריאל אשכנזי,עכו מרום,זכר,"תשפ""ב",2004-10-15,אפרת,,,
מתן צדוק,ירושלים בית הערבה,זכר,"תשפ""ב",2006-01-06,אפרת,מסגרות מבנים,,
דניאל מוסקוביץ,בית שאן,זכר,"תשפ""ג",2000-06-30,גבעת זאב,מסגרות מבנים,,
אלון זכריה,אורט אדיבי אשקלון,זכר,"תשפ""ב",2006-10-15,בית שמש,התמחות יישומי אוטו-טק,2021-10-12,
רן צדוק,עכו מרום,זכר,"תשפ""ה",2006-08-21,אבן ספיר,עיצוב שיער,,
כרים אלמוג,אורט אדיבי אשקלון,זכר,"תשפ""ב",2001-07-18,מודיעין,מחשבים,,
ליאור סרסור,מוצקין,נקבה,"תשע""ח",2007-03-31,בית שמש,מחשבים,,
שי דראושה,ירושלים בית הערבה,זכר,"תשפ""ג",2004-09-11,גבעת זאב,עיצוב(חנמ),,
נועם שרעבי,אורט אדיבי אשקלון,זכר,"תשע""ח",2003-08-26,גבעת זאב,תחזוקת מערכות מכניות,,
דנה חוראני,בית שאן,נקבה,"תשפ""א",2004-01-06,גבעת זאב,,,
רן סרסור,אורט אדיבי אשקלון,זכר,"תשפ""ב",2004-04-03,צור הדסה,,,
דניאל כרמלי,ירושלים בית הערבה,זכר,"תשע""ט",2005-06-12,מעלה אדומים,עיצוב שיער,2023-09-19,
נטע רחמים,ירושלים בית הערבה,נקבה,"תשפ""ד",2006-04-02,בית שמש,,2021-05-17,
אורי קלימי,בית שאן,זכר,"תשפ""ג",2005-11-13,ירושלים,,,
אלעד מלכה,אורט אדיבי אשקלון,זכר,"תשע""ח",2000-10-11,גבעת זאב,,,
ליאור דוד,ירושלים בית הערבה,זכר,"תשפ""ד",2006-01-24,מבשרת ציון,אוטוטרוניקה,,
עלי ביטון,אורט אדיבי אשקלון,זכר,"תשפ""ב",2005-08-23,הר אדר,עיצוב,,
רועי נגר,עכו מרום,זכר,"תשפ""ב",2002-09-19,אבן ספיר,תחזוקת מערכות מכניות(חנמ),,
מוחמד מנסור,ירושלים בית הערבה,,"תשפ""ה",2003-03-17,קרית יערים,עיצוב שיער,2025-02-21,
רן ברק,אורט אדיבי אשקלון,זכר,"תשפ""ב",2000-10-08,מבשרת ציון,אוטוטרוניקה,,
יהונתן דוד,מוצקין,זכר,"תשפ""א",2000-04-23,מעלה אדומים,מחשבים,,
ליאור דהן,עכו מרום,נקבה,"תשפ""ג",2007-12-20,אפרת,עיצוב שיער,,
תומר מנסור,ירושלים בית הערבה,זכר,"תשפ""ה",2007-05-12,מודיעין,יישומי עיצוב שיער וטיפוח החן,2022-08-08,
יונתן כרמלי,עכו מרום,זכר,"תשע""ט",2002-05-26,בית שמש,תקשוב,,
אחמד דוד,עכו מרום,זכר,"תשפ""ד",2002-10-14,מודיעין,,,
יהונתן חוראני,אורט אדיבי אשקלון,זכר,"תש""ף",2004-06-27,בית שמש,,,
עלי אבו ראס,מוצקין,זכר,"תשפ""א",2004-05-25,ירושלים,,,
נועה עואד,אורט אדיבי אשקלון,נקבה,"תשע""ט",2000-10-27,קרית יערים,מערכות סיב````ם תיב````ם,,
נדב פרידמן,ירושלים בית הערבה,זכר,"תשפ""ה",2001-03-15,מבשרת ציון,עיצוב שיער,,
לינוי ברששת,ירושלים בית הערבה,נקבה,"תשפ""ה",2005-02-21,גבעת זאב,אוטוטרוניקה,,
נתנאל יפרח,אורט אדיבי אשקלון,זכר,"תשפ""ה",2001-01-09,צור הדסה,,2020-07-15,
אחמד נחום,ירושלים בית הערבה,זכר,"תשפ""ד",2004-09-12,אבן ספיר,אוטוטרוניקה,,
יובל שרעבי,ירושלים בית הערבה,נקבה,"תשפ""ב",2001-09-22,ירושלים,תחזוקת מערכות מכניות(חנמ),,
נדב כרמלי,עכו מרום,זכר,"תשפ""ג",2006-06-22,בית שמש,עיצוב,,
יובל מזרחי,צור ברק,זכר,"תשפ""ד",2000-09-25,גבעת זאב,מחשבים,,
יונתן עואד,אורט אדיבי אשקלון,זכר,"תשפ""ד",2002-01-24,בית שמש,תקשוב,,
מוחמד שרעבי,אורט אדיבי אשקלון,זכר,"תשפ""ג",2003-11-30,גבע בנימין,עיצוב שיער,,
עלי נחום,אורט אדיבי אשקלון,זכר,"תשפ""א",2003-01-14,גבע בנימין,מחשבים,,
אלון וקנין,ירושלים בית הערבה,זכר,"תשפ""ה",2006-07-20,קרית יערים,התמחות יישומי אוטו-טק,,
אביב גבאי,עכו מרום,זכר,"תשפ""א",2000-03-31,ירושלים,,,
רן מזרחי,עכו מרום,זכר,"תשפ""ה",2006-05-20,אבן ספיר,תקשוב,,
אדם רחמים,בית שאן,זכר,"תשפ""ב",2007-04-23,צור הדסה,מחשבים,,
נדב עמר,אורט אדיבי אשקלון,זכר,"תש""ף",2007-07-02,קרית יערים,עיצוב שיער,,
נועה תורגמן,ירושלים בית הערבה,נקבה,"תשפ""ג",2005-09-25,גבעת זאב,תקשוב,,
איתי לביא,ירושלים בית הערבה,זכר,"תשפ""ה",2007-08-10,ירושלים,תקשוב,,
גיא אוחיון,אורט אדיבי אשקלון,זכר,"תשפ""ב",2001-02-25,מודיעין,מחשבים,,
שקד מוסקוביץ,עכו מרום,נקבה,"תשפ""ב",2000-06-25,מודיעין,עיצוב שיער,,
דנה אלבז,אורט אדיבי אשקלון,נקבה,"תשפ""ה",2004-11-22,אבן ספיר,עיצוב,,
אמל מזרחי,אורט אדיבי אשקלון,נקבה,"תשפ""ב",2005-03-25,אבן ספיר,מחשבים,2024-10-10,
נדב עטיה,ירושלים בית הערבה,זכר,"תשפ""ג",2002-08-25,אפרת,,2020-07-08,
מאהר פרידמן,עכו מרום,זכר,"תשפ""ד",2002-11-12,אבן ספיר,עיצוב,,
יונתן כהן,ירושלים בית הערבה,זכר,"תשפ""ד",2005-02-23,אבן ספיר,,,
נור חיים,עכו מרום,נקבה,"תשפ""ד",2001-02-19,אפרת,אוטוטרוניקה,,
תמר דראושה,מוצקין,נקבה,,2005-08-07,אפרת,תחזוקת מערכות מכניות(חנמ),2022-04-15,
תומר נחום,צור ברק,זכר,"תשפ""ה",2000-12-18,גבע בנימין,מחשבים,,
ליאור נגר,עכו מרום,נקבה,"תשפ""ב",2002-03-09,גבעת זאב,תקשוב,,
ליאור דראושה,ירושלים בית הערבה,זכר,"תשפ""ג",2004-04-09,,מסגרות מבנים,2023-02-25,
עומר דהן,בית שאן,זכר,"תשע""ח",2000-02-21,אבן ספיר,תחזוקת מערכות מכניות,,
שי סלומון,ירושלים בית הערבה,זכר,"תש""ף",2000-05-09,אפרת,מערכות הספק פיקוד ובקרה,,2025-06-01
אסף אגבאריה,מוצקין,זכר,"תשפ""ה",2000-12-27,גבע בנימין,,,
אדם קדוש,עכו מרום,זכר,"תשפ""ה",2005-01-08,גבעת זאב,מחשבים,,
רן דהן,עכו מרום,זכר,"תשע""ח",2007-03-05,אבן ספיר,מערכות תיכון וייצר באמצעות מחשב,,
יונתן עבד אלחק,ירושלים בית הערבה,זכר,"תשפ""ד",2005-08-14,אפרת,בישול מלונאי,,
אריאל מזרחי,ירושלים בית הערבה,זכר,"תשפ""ד",2006-03-02,,בישול מלונאי,,
אדם קלימי,בית שאן,זכר,"תשפ""ה",2005-09-04,צור הדסה,,,
רוני רוזן,ירושלים בית הערבה,נקבה,"תשע""ח",2005-07-06,הר אדר,תקשוב,,
שקד חדד,בית שאן,נקבה,"תשפ""ג",2003-08-21,אפרת,,,
יונתן וקנין,אורט אדיבי אשקלון,זכר,"תשפ""ד",2001-08-16,אפרת,,,
אורי רחמים,ירושלים בית הערבה,זכר,"תשפ""ג",2003-07-24,צור הדסה,עיצוב שיער,,
איתי אשכנזי,מוצקין,זכר,"תשפ""ד",2003-03-10,צור הדסה,מחשבים,,
אדם פלד,אורט אדיבי אשקלון,זכר,"תשפ""ד",2004-03-25,גבע בנימין,עיצוב שיער,,
ליאור גבאי,מוצקין,זכר,"תשפ""ג",2004-05-13,מודיעין,,2021-02-24,
נור זכריה,עכו מרום,נקבה,"תשע""ט",2003-06-26,גבע בנימין,מערכות סיב````ם תיב````ם,,
ניצן דראושה,ירושלים בית הערבה,נקבה,"תשפ""ג",2005-02-25,אפרת,,,
איתי אברהם,ירושלים בית הערבה,זכר,"תשפ""ה",2006-12-19,גבעת זאב,עיצוב שיער,,
אלון יפרח,עכו מרום,זכר,"תשפ""ה",2007-10-25,קרית יערים,מחשבים,2020-11-06,
אמל דוד,בית שאן,נקבה,"תשפ""א",2004-02-17,מעלה אדומים,תקשוב,,
ניצן ברששת,אורט אדיבי אשקלון,נקבה,"תשפ""א",2003-05-18,גבעת זאב,אוטוטרוניקה,,
יובל מוסקוביץ,אורט אדיבי אשקלון,נקבה,"תשע""ח",2006-12-23,צור הדסה,,,
עידו טל,ירושלים בית הערבה,זכר,"תשפ""ג",2004-12-18,בית שמש,עיצוב שיער,,
דניאל רחמים,עכו מרום,זכר,"תשפ""א",2002-02-24,מודיעין,תקשוב,,
יונתן אלמוג,אורט אדיבי אשקלון,זכר,"תשע""ח",2000-07-21,מודיעין,תחזוקת מערכות מכניות,,
יונתן תורגמן,עכו מרום,זכר,"תשפ""ד",2000-06-07,מעלה אדומים,מחשבים,,
סלמא אגבאריה,מוצקין,נקבה,"תשפ""ה",2000-03-17,הר אדר,תחזוקת מערכות מכניות,,
ניצן יפרח,ירושלים בית הערבה,נקבה,"תשע""ט",2000-10-21,קרית יערים,מערכות סיב````ם תיב````ם,,
מאיה אוחיון,בית שאן,נקבה,"תשפ""ב",2000-03-02,מעלה אדומים,תקשוב,,
אחמד דראושה,ירושלים בית הערבה,זכר,"תשפ""ב",2000-07-23,ירושלים,תקשוב,,
יוסף לוי,עכו מרום,זכר,"תשפ""ה",2004-02-29,ירושלים,,,
חסן אלמוג,אורט אדיבי אשקלון,זכר,"תשפ""א",2000-12-03,,מערכות תיכון וייצר באמצעות מחשב,,
בר טל,ירושלים בית הערבה,זכר,"תשפ""ה",2001-04-24,,אוטוטרוניקה,,
מיכל ביטון,עכו מרום,נקבה,"תשפ""ה",2006-09-04,גבע בנימין,מחשבים,,
כרים פרידמן,אורט אדיבי אשקלון,זכר,"תשפ""ד",2006-09-10,מודיעין,עיצוב שיער,,
רוני בן שימול,בית שאן,נקבה,"תשפ""ב",2004-09-10,אבן ספיר,תקשוב(חנמ),,
יוסף כהן,עכו מרום,זכר,"תש""ף",2001-06-27,גבעת זאב,עיצוב שיער,,
אביב קדוש,אורט אדיבי אשקלון,זכר,"תשע""ח",2007-11-26,ירושלים,עיצוב שיער,,
חסן פלד,מוצקין,זכר,"תשע""ט",2005-05-01,אבן ספיר,,,
עלי וקנין,אורט אדיבי אשקלון,זכר,"תשע""ט",2006-09-12,אפרת,,,
יובל כרמלי,ירושלים בית הערבה,זכר,"תשפ""ג",2007-11-17,גבע בנימין,מחשבים,,
הדס שפירא,אורט אדיבי אשקלון,נקבה,"תשפ""ב",2005-05-22,צור הדסה,מערכות תיכון וייצר באמצעות מחשב,,
עלי סעדה,אורט אדיבי אשקלון,זכר,"תשפ""ה",2004-11-14,צור הדסה,עיצוב שיער,,
מאהר חטיב,ירושלים בית הערבה,זכר,"תשפ""ג",2002-09-06,גבעת זאב,מחשבים,,
הילה מנסור,ירושלים בית הערבה,נקבה,"תשפ""ה",2007-02-03,אפרת,תקשוב,,
סאמר צדוק,בית שאן,זכר,"תשפ""ה",2005-11-01,מעלה אדומים,מחשבים,,
רן טויטו,מוצקין,זכר,"תשפ""ה",2000-01-16,מודיעין,מחשבים,,
אלון כרמלי,עכו מרום,זכר,"תשפ""א",2000-03-17,צור הדסה,עיצוב,,
אלון תורגמן,עכו מרום,זכר,"תשע""ח",2003-06-06,מודיעין,תחזוקת מערכות מכניות(חנמ),,
אלעד סלים,מוצקין,זכר,"תשפ""ה",2007-07-07,ירושלים,,2023-01-20,
אביב נאור,אורט אדיבי אשקלון,זכר,"תשע""ט",2002-03-03,הר אדר,מחשבים,2024-02-24,
נטע בן שימול,צור ברק,נקבה,"תשפ""ב",2003-04-15,צור הדסה,תקשוב,,
תומר אלמוג,מוצקין,זכר,"תשפ""ד",2001-03-16,הר אדר,התמחות יישומי אוטו-טק,,
אדם טל,עכו מרום,זכר,"תשפ""ד",2005-08-16,אבן ספיר,תקשוב,,
טל מוסקוביץ,אורט אדיבי אשקלון,נקבה,"תשפ""ב",2000-07-24,מודיעין,מסגרות מבנים,,
תמר וקנין,ירושלים בית הערבה,נקבה,"תשפ""ד",2000-06-15,מבשרת ציון,מערכות הספק פיקוד ובקרה,,
אחמד קלימי,עכו מרום,זכר,"תשפ""ב",2003-05-09,,,,
יונתן פרידמן,ירושלים בית הערבה,זכר,"תשפ""ה",2006-09-02,,עיצוב שיער,,
אביגיל חדד,ירושלים בית הערבה,נקבה,"תשפ""ד",2004-04-12,אפרת,מערכות סיב````ם תיב````ם,,
עלי בן שימול,עכו מרום,זכר,"תשפ""ג",2005-03-13,ירושלים,עיצוב שיער,,
אביב כהן,ירושלים בית הערבה,זכר,"תשע""ט",2002-07-31,בית שמש,אוטוטרוניקה,2021-09-03,
נועם ברק,ירושלים בית הערבה,זכר,"תשפ""ג",2002-05-13,מבשרת ציון,עיצוב,,
יהונתן פרידמן,ירושלים בית הערבה,זכר,"תשפ""ה",2002-01-06,,יישומי עיצוב שיער וטיפוח החן,,
נועם טל,ירושלים בית הערבה,זכר,"תשפ""ב",2006-11-21,אבן ספיר,מחשבים,,
נועם וקנין,עכו מרום,זכר,"תשפ""ה",2002-06-01,בית שמש,,,
יונתן סעדה,מוצקין,זכר,"תש""ף",2007-09-18,קרית יערים,עיצוב שיער,,
נתנאל עוזרי,ירושלים בית הערבה,זכר,"תשפ""ה",2007-04-30,גבעת זאב,מערכות הספק פיקוד ובקרה,,
עידו שטרית,עכו מרום,זכר,"תשפ""ג",2000-02-25,מודיעין,עיצוב,,
שי נאור,ירושלים בית הערבה,זכר,"תשע""ט",2006-01-23,בית שמש,התמחות יישומי אוטו-טק,,
מוחמד אבו ראס,בית שאן,זכר,"תשפ""ב",2000-09-02,קרית יערים,תחזוקת מערכות מכניות,,
ריהאם דהן,עכו מרום,נקבה,"תשפ""ה",2004-10-19,,תחזוקת מערכות מכניות,,
יובל טויטו,ירושלים בית הערבה,זכר,"תשפ""ד",2002-01-14,אפרת,תקשוב,2021-09-20,
נדב מזרחי,עכו מרום,זכר,"תשפ""ג",2006-11-12,מודיעין,מסגרות מבנים,2025-03-20,
אדם סרסור,ירושלים בית הערבה,זכר,"תשפ""ה",2005-02-06,צור הדסה,תקשוב,,
אביב פרידמן,עכו מרום,זכר,"תשפ""ד",2006-08-25,מעלה אדומים,עיצוב שיער,,
נועם לוי,עכו מרום,זכר,"תשפ""ד",2002-10-31,הר אדר,בישול מלונאי,,
גיא עואד,ירושלים בית הערבה,זכר,"תשפ""ה",2006-08-10,מודיעין,עיצוב שיער,,
עידו סעדה,עכו מרום,זכר,"תש""ף",2001-02-19,גבע בנימין,עיצוב שיער,,
יעל נחום,עכו מרום,נקבה,"תשפ""ד",2006-03-05,קרית יערים,בישול מלונאי,,
יהונתן קדוש,ירושלים בית הערבה,זכר,"תשפ""ה",2002-11-02,גבע בנימין,התמחות יישומי אוטו-טק,,
דניאל עטיה,מוצקין,זכר,"תשפ""ב",2004-09-08,אפרת,עיצוב,,
יונתן מנסור,מוצקין,זכר,"תשפ""ד",2007-12-04,הר אדר,תקשוב,,
יובל סעדה,ירושלים בית הערבה,זכר,"תשפ""ד",2000-12-17,מבשרת ציון,מחשבים,,
חסן טהא,אורט אדיבי אשקלון,זכר,"תשפ""א",2003-06-11,מבשרת ציון,תקשוב,,
יהונתן פרץ,עכו מרום,זכר,"תשפ""א",2004-03-05,גבע בנימין,בישול מלונאי,,
מרים קדוש,אורט אדיבי אשקלון,נקבה,"תשפ""א",2000-06-12,אבן ספיר,מחשבים,,
אמל לוי,עכו מרום,נקבה,"תשפ""ה",2002-11-23,אפרת,אוטוטרוניקה,,
הדס גבאי,ירושלים בית הערבה,נקבה,"תשפ""ג",2002-04-27,,מערכות תיכון וייצר באמצעות מחשב,,
עלי נאור,ירושלים בית הערבה,זכר,,2003-06-14,מעלה אדומים,,,
מאהר חיים,צור ברק,זכר,"תשפ""ה",2006-04-23,הר אדר,תקשוב(חנמ),,
גיא פרידמן,אורט אדיבי אשקלון,זכר,"תשפ""ה",2007-03-02,מבשרת ציון,תקשוב,,
איתי טהא,עכו מרום,זכר,"תש""ף",2007-07-03,אפרת,תחזוקת מערכות מכניות,,
בר נגר,ירושלים בית הערבה,זכר,"תשפ""ג",2007-04-03,ירושלים,מחשבים,2019-06-27,
אדם תורגמן,עכו מרום,זכר,"תשפ""ב",2003-04-20,ירושלים,עיצוב שיער,,
עמית נחום,אורט אדיבי אשקלון,זכר,"תשפ""ד",2003-08-04,הר אדר,מערכות תיכון וייצר באמצעות מחשב,,
אריאל גבאי,ירושלים בית הערבה,זכר,"תשפ""ד",2004-03-12,ירושלים,מחשבים,2021-09-25,
עמית שפירא,בית שאן,זכר,"תשפ""ב",2000-05-31,אפרת,,,
אחמד מלכה,ירושלים בית הערבה,זכר,"תשפ""ה",2003-08-11,ירושלים,מחשבים,,
מאיה עוזרי,ירושלים בית הערבה,נקבה,"תשפ""ב",2007-11-16,הר אדר,אוטוטרוניקה,,
אלעד חוראני,ירושלים בית הערבה,זכר,"תשפ""ב",2006-12-06,הר אדר,בישול מלונאי,2025-06-12,
עומר סרסור,אורט אדיבי אשקלון,זכר,"תשפ""ה",2001-10-27,הר אדר,מערכות סיב````ם תיב````ם,,
אריאל אבו ראס,ירושלים בית הערבה,זכר,"תשפ""ב",2003-10-19,צור הדסה,,,
ניצן שפירא,אורט אדיבי אשקלון,נקבה,"תשפ""ב",2003-02-17,הר אדר,תקשוב,,
סלמא חיים,בית שאן,נקבה,"תשפ""ה",2002-08-18,מבשרת ציון,תחזוקת מערכות מכניות(חנמ),,
יובל זועבי,עכו מרום,נקבה,"תשפ""ב",2001-08-03,מבשרת ציון,עיצוב שיער,,
יוסף כרמלי,אורט אדיבי אשקלון,זכר,"תשפ""ג",2003-01-17,קרית יערים,בישול מלונאי,,
גיא נחום,אורט אדיבי אשקלון,זכר,"תשפ""א",2003-07-08,מבשרת ציון,עיצוב,,
אלעד טויטו,עכו מרום,זכר,"תשע""ט",2001-01-26,אפרת,עיצוב שיער,,
אסף עטיה,עכו מרום,זכר,"תש""ף",,,,,
יובל בן שימול,צור ברק,נקבה,"תשפ""ה",2001-09-03,קרית יערים,עיצוב שיער,,
שחר חיים,אורט אדיבי אשקלון,זכר,"תשפ""א",2007-07-04,אבן ספיר,מלונאות,,
נתנאל צדוק,עכו מרום,זכר,"תשע""ט",2005-05-01,ירושלים,,,
אלעד טהא,עכו מרום,זכר,"תשפ""ג",2001-09-23,אפרת,עיצוב שיער,,
אביב מזרחי,אורט אדיבי אשקלון,זכר,"תשפ""ה",2004-02-20,אפרת,,,
אלון טויטו,עכו מרום,זכר,"תשפ""ה",2005-04-08,גבעת זאב,יישומי עיצוב שיער וטיפוח החן,,
נועה פלד,עכו מרום,נקבה,"תשפ""ד",2006-04-02,מבשרת ציון,בישול מלונאי,,
אור לוי,ירושלים בית הערבה,נקבה,"תשפ""ג",2004-06-04,,מלונאות,,
ליאור אוחיון,אורט אדיבי אשקלון,זכר,"תשע""ח",2007-09-14,גבע בנימין,עיצוב שיער,,
שי אגבאריה,אורט אדיבי אשקלון,זכר,"תשפ""א",2003-05-21,הר אדר,מערכות סיב````ם תיב````ם,,
אריאל תורגמן,אורט אדיבי אשקלון,זכר,"תשפ""ד",2003-01-02,צור הדסה,,,
נטע עואד,מוצקין,נקבה,"תש""ף",2002-12-24,,תחזוקת מערכות מכניות,,
גיא עמר,מוצקין,זכר,"תשפ""ג",2000-08-08,הר אדר,מערכות סיב````ם תיב````ם,,
יובל עמר,עכו מרום,זכר,"תשפ""ב",2002-10-16,ירושלים,עיצוב שיער,,
יעל מוסקוביץ,מוצקין,נקבה,"תשפ""ד",2007-08-22,אבן ספיר,התמחות יישומי אוטו-טק,,
מאיה שטרית,אורט אדיבי אשקלון,נקבה,"תשפ""ד",2006-12-10,,אוטוטרוניקה,2021-03-15,
אביב אבו ראס,אורט אדיבי אשקלון,זכר,"תש""ף",2001-11-09,מעלה אדומים,עיצוב שיער,,
הדס עמר,ירושלים בית הערבה,נקבה,"תשפ""ג",2004-04-12,מעלה אדומים,עיצוב שיער,2019-12-22,
שי אלבז,עכו מרום,זכר,"תשפ""ד",2006-03-14,,מערכות תיכון וייצר באמצעות מחשב,,
כרים פלד,אורט אדיבי אשקלון,זכר,"תשפ""ג",2000-01-03,ירושלים,,,
יונתן יפרח,ירושלים בית הערבה,זכר,"תשפ""ד",2001-07-27,מבשרת ציון,תקשוב,,
מאהר כרמלי,עכו מרום,זכר,"תשפ""ג",2000-10-01,מבשרת ציון,תקשוב,2024-01-07,
מתן אברהם,אורט אדיבי אשקלון,זכר,"תשפ""ה",2006-03-31,מעלה אדומים,תקשוב,2024-09-15,
יוסף פרץ,עכו מרום,זכר,"תשפ""ה",2001-02-25,,עיצוב שיער,,
רן דוד,ירושלים בית הערבה,זכר,"תשפ""ג",2006-12-24,,מחשבים,,
אריאל דוד,ירושלים בית הערבה,זכר,"תשפ""ד",2007-07-03,ירושלים,עיצוב,2022-09-21,
אחמד אברהם,אורט אדיבי אשקלון,זכר,"תש""ף",2001-06-23,גבעת זאב,אוטוטרוניקה,,
מאהר לוי,עכו מרום,זכר,"תשפ""ה",2000-01-13,מודיעין,עיצוב(חנמ),,
אדם גבאי,ירושלים בית הערבה,זכר,"תשפ""ה",2006-08-22,אבן ספיר,מערכות סיב````ם תיב````ם,,
אביב אלמוג,עכו מרום,זכר,"תשפ""ג",2006-03-26,מודיעין,עיצוב(חנמ),,
הדס סעדה,אורט אדיבי אשקלון,נקבה,"תשפ""ד",2004-05-17,גבע בנימין,,,
תמר סבג,מוצקין,נקבה,"תשפ""א",2000-05-12,,התמחות יישומי אוטו-טק,,
יהונתן זועבי,עכו מרום,זכר,"תשפ""ה",2003-07-21,מודיעין,תחזוקת מערכות מכניות,,
תומר סלומון,ירושלים בית הערבה,זכר,"תשפ""א",2003-06-11,מודיעין,תקשוב,,
סלמא סלומון,ירושלים בית הערבה,נקבה,"תשפ""ד",2006-07-09,צור הדסה,,,
נתנאל עמר,ירושלים בית הערבה,זכר,"תשפ""ד",2001-08-04,גבעת זאב,,,
הראל מלכה,אורט אדיבי אשקלון,זכר,"תשפ""ד",2000-03-21,בית שמש,עיצוב שיער,,
רועי קדוש,עכו מרום,זכר,"תשע""ח",2001-07-23,אבן ספיר,תחזוקת מערכות מכניות,,
מיכל אלמוג,אורט אדיבי אשקלון,נקבה,"תשפ""א",2006-03-02,צור הדסה,אוטוטרוניקה,2021-12-15,
אביגיל תורגמן,צור ברק,נקבה,"תשפ""ד",2001-06-27,ירושלים,עיצוב,,
אדם ברששת,ירושלים בית הערבה,זכר,"תשפ""א",2000-02-24,ירושלים,תקשוב,,
יובל זכריה,עכו מרום,נקבה,"תשע""ט",2000-09-23,בית שמש,תקשוב(חנמ),,
